nroEj;ClaseImagen;ClaseInferida;Tiempo;Confianza;Correcto;;Metricas
51 ; 26 ; 26 ; N/A ; 1.00;SI;;
52 ; 28 ; 28 ; N/A ; 0.94;SI;;
53 ; 19 ; 21 ; N/A ; 0.38;NO;;
54 ; 23 ; 23 ; N/A ; 0.99;SI;;
55 ; 33 ; 33 ; N/A ; 0.96;SI;;
56 ;  3 ;  3 ; N/A ; 1.00;SI;;
57 ; 35 ; 35 ; N/A ; 0.99;SI;;
58 ; 17 ; 17 ; N/A ; 0.99;SI;;
59 ; 28 ; 28 ; N/A ; 0.84;SI;;
60 ; 33 ; 33 ; N/A ; 1.00;SI;;
61 ; 12 ; 12 ; N/A ; 1.00;SI;;
62 ; 32 ; 32 ; N/A ; 1.00;SI;;
63 ; 31 ; 31 ; N/A ; 0.99;SI;;
64 ; 11 ; 11 ; N/A ; 0.91;SI;;
65 ; 13 ; 13 ; N/A ; 1.00;SI;;
66 ; 29 ; 29 ; N/A ; 0.99;SI;;
67 ; 16 ; 16 ; N/A ; 0.96;SI;;
68 ; 32 ; 32 ; N/A ; 1.00;SI;;
69 ; 26 ; 26 ; N/A ; 1.00;SI;;
70 ; 13 ; 13 ; N/A ; 0.96;SI;;
71 ;  1 ;  1 ; N/A ; 0.52;SI;;
72 ; 12 ; 12 ; N/A ; 0.89;SI;;
73 ;  5 ;  5 ; N/A ; 1.00;SI;;
74 ; 23 ; 17 ; N/A ; 0.72;NO;;
75 ;  9 ;  9 ; N/A ; 0.97;SI;;
76 ; 11 ; 11 ; N/A ; 0.99;SI;;
77 ; 19 ; 19 ; N/A ; 0.84;SI;;
78 ; 11 ;  2 ; N/A ; 0.53;NO;;
79 ; 24 ; 24 ; N/A ; 0.64;SI;;
80 ; 11 ; 11 ; N/A ; 1.00;SI;;
81 ; 10 ; 10 ; N/A ; 0.99;SI;;
82 ; 10 ; 10 ; N/A ; 1.00;SI;;
83 ;  4 ;  4 ; N/A ; 1.00;SI;;
84 ; 30 ; 30 ; N/A ; 0.80;SI;;
85 ; 27 ; 27 ; N/A ; 0.99;SI;;
86 ;  4 ;  4 ; N/A ; 0.99;SI;;
87 ; 25 ; 25 ; N/A ; 0.99;SI;;
88 ;  8 ;  8 ; N/A ; 1.00;SI;;
89 ;  8 ;  8 ; N/A ; 0.99;SI;;
90 ;  0 ; 11 ; N/A ; 0.78;NO;;
91 ; 34 ; 34 ; N/A ; 0.99;SI;;
92 ;  3 ;  3 ; N/A ; 1.00;SI;;
93 ; 10 ; 10 ; N/A ; 0.92;SI;;
94 ; 21 ;  1 ; N/A ; 0.55;NO;;
95 ; 26 ; 26 ; N/A ; 1.00;SI;;
96 ; 20 ; 20 ; N/A ; 0.99;SI;;
97 ; 25 ; 25 ; N/A ; 1.00;SI;;
98 ; 30 ; 30 ; N/A ; 0.98;SI;;
99 ; 29 ; 29 ; N/A ; 1.00;SI;;
100 ; 11 ; 11 ; N/A ; 1.00;SI;;
101 ;  5 ;  5 ; N/A ; 0.76;SI;;
102 ; 26 ; 26 ; N/A ; 1.00;SI;;
103 ; 15 ; 15 ; N/A ; 1.00;SI;;
104 ; 13 ; 13 ; N/A ; 0.62;SI;;
105 ; 10 ; 10 ; N/A ; 0.99;SI;;
106 ; 33 ; 33 ; N/A ; 1.00;SI;;
107 ; 12 ; 12 ; N/A ; 1.00;SI;;
108 ;  5 ;  5 ; N/A ; 0.96;SI;;
109 ; 25 ; 25 ; N/A ; 1.00;SI;;
110 ;  6 ;  6 ; N/A ; 0.94;SI;;
111 ; 24 ;  0 ; N/A ; 0.50;NO;;
112 ; 12 ; 12 ; N/A ; 1.00;SI;;
113 ; 19 ; 19 ; N/A ; 0.92;SI;;
114 ;  9 ;  9 ; N/A ; 1.00;SI;;
115 ; 12 ; 12 ; N/A ; 0.99;SI;;
116 ; 10 ; 10 ; N/A ; 0.99;SI;;
117 ; 25 ; 25 ; N/A ; 0.68;SI;;
118 ;  9 ;  9 ; N/A ; 0.98;SI;;
119 ; 34 ; 34 ; N/A ; 1.00;SI;;
120 ; 14 ; 14 ; N/A ; 1.00;SI;;
121 ; 23 ; 23 ; N/A ; 0.84;SI;;
122 ; 20 ; 20 ; N/A ; 0.98;SI;;
123 ; 32 ; 32 ; N/A ; 1.00;SI;;
124 ; 35 ; 34 ; N/A ; 0.49;NO;;
125 ;  5 ;  5 ; N/A ; 0.98;SI;;
126 ; 22 ; 22 ; N/A ; 1.00;SI;;
127 ;  4 ;  4 ; N/A ; 0.99;SI;;
128 ; 20 ; 20 ; N/A ; 1.00;SI;;
129 ; 30 ; 30 ; N/A ; 0.34;SI;;
130 ; 21 ; 18 ; N/A ; 0.51;NO;;
131 ; 28 ; 28 ; N/A ; 0.84;SI;;
132 ;  2 ; 35 ; N/A ; 0.93;NO;;
133 ;  6 ;  6 ; N/A ; 0.98;SI;;
134 ; 33 ; 33 ; N/A ; 1.00;SI;;
135 ; 10 ; 10 ; N/A ; 0.99;SI;;
136 ; 28 ; 28 ; N/A ; 0.98;SI;;
137 ; 25 ; 25 ; N/A ; 1.00;SI;;
138 ; 26 ; 26 ; N/A ; 1.00;SI;;
139 ; 29 ; 29 ; N/A ; 0.99;SI;;
140 ; 26 ; 26 ; N/A ; 1.00;SI;;
141 ;  1 ;  1 ; N/A ; 0.68;SI;;
142 ; 14 ; 14 ; N/A ; 1.00;SI;;
143 ;  9 ;  9 ; N/A ; 0.99;SI;;
144 ; 20 ; 26 ; N/A ; 0.41;NO;;
145 ; 13 ; 13 ; N/A ; 1.00;SI;;
146 ; 26 ; 26 ; N/A ; 1.00;SI;;
147 ;  4 ;  4 ; N/A ; 0.82;SI;;
148 ;  3 ;  3 ; N/A ; 1.00;SI;;
149 ; 15 ; 15 ; N/A ; 0.98;SI;;
150 ; 20 ; 20 ; N/A ; 1.00;SI;;
151 ; 29 ; 29 ; N/A ; 0.97;SI;;
152 ; 21 ; 21 ; N/A ; 1.00;SI;;
153 ; 24 ;  0 ; N/A ; 0.57;NO;;
154 ; 21 ;  1 ; N/A ; 0.71;NO;;
155 ; 17 ;  4 ; N/A ; 0.54;NO;;
156 ; 22 ; 22 ; N/A ; 1.00;SI;;
157 ; 13 ; 13 ; N/A ; 1.00;SI;;
158 ;  3 ;  3 ; N/A ; 1.00;SI;;
159 ;  0 ;  0 ; N/A ; 0.47;SI;;
160 ;  5 ;  5 ; N/A ; 0.95;SI;;
161 ;  6 ;  6 ; N/A ; 0.99;SI;;
162 ; 10 ; 10 ; N/A ; 0.99;SI;;
163 ; 16 ; 16 ; N/A ; 0.87;SI;;
164 ; 25 ; 25 ; N/A ; 0.99;SI;;
165 ; 11 ; 11 ; N/A ; 1.00;SI;;
166 ; 10 ; 10 ; N/A ; 0.71;SI;;
167 ; 28 ; 28 ; N/A ; 0.97;SI;;
168 ; 28 ; 28 ; N/A ; 1.00;SI;;
169 ; 33 ; 33 ; N/A ; 1.00;SI;;
170 ; 18 ; 18 ; N/A ; 0.88;SI;;
171 ; 25 ; 25 ; N/A ; 1.00;SI;;
172 ; 17 ; 17 ; N/A ; 0.99;SI;;
173 ; 29 ; 29 ; N/A ; 1.00;SI;;
174 ; 20 ; 20 ; N/A ; 1.00;SI;;
175 ;  0 ;  0 ; N/A ; 0.60;SI;;
176 ;  6 ;  6 ; N/A ; 0.98;SI;;
177 ;  5 ;  5 ; N/A ; 0.98;SI;;
178 ; 18 ;  1 ; N/A ; 0.48;NO;;
179 ;  4 ;  4 ; N/A ; 1.00;SI;;
180 ; 12 ; 12 ; N/A ; 0.95;SI;;
181 ; 26 ; 26 ; N/A ; 1.00;SI;;
182 ;  5 ;  5 ; N/A ; 1.00;SI;;
183 ; 10 ; 10 ; N/A ; 1.00;SI;;
184 ; 21 ; 21 ; N/A ; 0.93;SI;;
185 ;  6 ;  6 ; N/A ; 0.88;SI;;
186 ; 10 ; 10 ; N/A ; 1.00;SI;;
187 ; 12 ; 12 ; N/A ; 0.96;SI;;
188 ;  0 ;  0 ; N/A ; 0.71;SI;;
189 ; 24 ;  0 ; N/A ; 0.70;NO;;
190 ;  1 ; 18 ; N/A ; 0.81;NO;;
191 ;  9 ;  9 ; N/A ; 1.00;SI;;
192 ;  5 ; 28 ; N/A ; 0.91;NO;;
193 ; 34 ;  4 ; N/A ; 0.52;NO;;
194 ; 25 ; 25 ; N/A ; 1.00;SI;;
195 ; 29 ; 29 ; N/A ; 0.99;SI;;
196 ; 13 ; 13 ; N/A ; 0.99;SI;;
197 ; 30 ; 30 ; N/A ; 0.98;SI;;
198 ;  9 ;  9 ; N/A ; 1.00;SI;;
199 ;  2 ;  2 ; N/A ; 1.00;SI;;
200 ; 23 ; 23 ; N/A ; 0.98;SI;;
201 ; 19 ; 19 ; N/A ; 1.00;SI;;
202 ; 17 ; 17 ; N/A ; 0.99;SI;;
203 ;  8 ;  8 ; N/A ; 1.00;SI;;
204 ; 10 ; 10 ; N/A ; 0.99;SI;;
205 ; 33 ; 33 ; N/A ; 0.96;SI;;
206 ;  2 ;  2 ; N/A ; 1.00;SI;;
207 ; 15 ; 15 ; N/A ; 1.00;SI;;
208 ; 34 ; 34 ; N/A ; 0.88;SI;;
209 ; 28 ; 28 ; N/A ; 0.68;SI;;
210 ; 15 ; 15 ; N/A ; 0.88;SI;;
211 ; 34 ; 34 ; N/A ; 0.63;SI;;
212 ;  3 ;  3 ; N/A ; 0.99;SI;;
213 ; 16 ;  6 ; N/A ; 0.72;NO;;
214 ; 10 ; 10 ; N/A ; 1.00;SI;;
215 ; 18 ; 18 ; N/A ; 0.79;SI;;
216 ; 27 ; 27 ; N/A ; 1.00;SI;;
217 ; 27 ; 27 ; N/A ; 1.00;SI;;
218 ; 30 ; 30 ; N/A ; 0.89;SI;;
219 ;  8 ;  8 ; N/A ; 0.40;SI;;
220 ; 19 ; 23 ; N/A ; 0.54;NO;;
221 ;  2 ;  2 ; N/A ; 0.99;SI;;
222 ; 15 ; 15 ; N/A ; 1.00;SI;;
223 ; 21 ; 15 ; N/A ; 0.73;NO;;
224 ; 11 ; 11 ; N/A ; 0.74;SI;;
225 ; 17 ; 17 ; N/A ; 0.93;SI;;
226 ;  5 ; 29 ; N/A ; 0.87;NO;;
227 ; 11 ; 11 ; N/A ; 0.58;SI;;
228 ;  2 ;  2 ; N/A ; 0.96;SI;;
229 ; 25 ; 25 ; N/A ; 1.00;SI;;
230 ; 23 ; 23 ; N/A ; 1.00;SI;;
231 ; 33 ; 33 ; N/A ; 1.00;SI;;
232 ; 28 ;  5 ; N/A ; 0.65;NO;;
233 ; 28 ; 28 ; N/A ; 0.81;SI;;
234 ;  8 ;  8 ; N/A ; 0.97;SI;;
235 ; 15 ; 15 ; N/A ; 0.98;SI;;
236 ; 11 ; 11 ; N/A ; 0.95;SI;;
237 ; 23 ; 23 ; N/A ; 1.00;SI;;
238 ;  7 ;  7 ; N/A ; 0.98;SI;;
239 ;  4 ;  4 ; N/A ; 0.84;SI;;
240 ; 18 ; 18 ; N/A ; 0.58;SI;;
241 ;  8 ;  8 ; N/A ; 1.00;SI;;
242 ; 21 ;  1 ; N/A ; 0.49;NO;;
243 ;  5 ;  5 ; N/A ; 0.98;SI;;
244 ; 35 ; 35 ; N/A ; 1.00;SI;;
245 ; 27 ; 27 ; N/A ; 1.00;SI;;
246 ; 19 ; 19 ; N/A ; 1.00;SI;;
247 ;  2 ; 35 ; N/A ; 0.66;NO;;
248 ;  1 ; 18 ; N/A ; 0.37;NO;;
249 ; 20 ; 20 ; N/A ; 1.00;SI;;
250 ; 20 ; 20 ; N/A ; 0.97;SI;;
251 ; 13 ; 13 ; N/A ; 0.97;SI;;
252 ;  7 ;  7 ; N/A ; 1.00;SI;;
253 ; 22 ; 22 ; N/A ; 0.99;SI;;
254 ;  2 ;  2 ; N/A ; 0.93;SI;;
255 ; 14 ; 14 ; N/A ; 0.98;SI;;
256 ; 35 ; 35 ; N/A ; 0.94;SI;;
257 ; 32 ; 32 ; N/A ; 0.95;SI;;
258 ; 20 ; 20 ; N/A ; 1.00;SI;;
259 ; 27 ; 27 ; N/A ; 0.97;SI;;
260 ; 23 ; 23 ; N/A ; 0.92;SI;;
261 ; 21 ; 18 ; N/A ; 0.93;NO;;
262 ; 21 ; 18 ; N/A ; 0.60;NO;;
263 ;  2 ;  2 ; N/A ; 1.00;SI;;
264 ; 15 ; 28 ; N/A ; 0.49;NO;;
265 ; 20 ; 20 ; N/A ; 1.00;SI;;
266 ; 12 ; 12 ; N/A ; 0.99;SI;;
267 ;  1 ;  1 ; N/A ; 0.79;SI;;
268 ; 24 ; 24 ; N/A ; 0.90;SI;;
269 ; 30 ; 30 ; N/A ; 1.00;SI;;
270 ; 26 ; 26 ; N/A ; 0.95;SI;;
271 ; 18 ; 18 ; N/A ; 0.65;SI;;
272 ; 35 ; 35 ; N/A ; 0.92;SI;;
273 ; 29 ; 29 ; N/A ; 0.98;SI;;
274 ; 21 ; 21 ; N/A ; 0.98;SI;;
275 ; 31 ; 31 ; N/A ; 0.93;SI;;
276 ; 33 ; 33 ; N/A ; 1.00;SI;;
277 ; 11 ; 11 ; N/A ; 0.99;SI;;
278 ; 22 ; 22 ; N/A ; 0.96;SI;;
279 ; 25 ; 25 ; N/A ; 0.97;SI;;
280 ;  1 ;  1 ; N/A ; 0.66;SI;;
281 ;  5 ;  5 ; N/A ; 0.80;SI;;
282 ; 22 ; 22 ; N/A ; 1.00;SI;;
283 ; 16 ; 16 ; N/A ; 1.00;SI;;
284 ;  1 ;  1 ; N/A ; 0.57;SI;;
285 ; 23 ; 23 ; N/A ; 0.51;SI;;
286 ;  7 ;  7 ; N/A ; 1.00;SI;;
287 ; 29 ; 19 ; N/A ; 0.55;NO;;
288 ; 15 ; 15 ; N/A ; 0.99;SI;;
289 ;  5 ; 28 ; N/A ; 0.62;NO;;
290 ; 31 ; 31 ; N/A ; 0.98;SI;;
291 ; 30 ; 30 ; N/A ; 0.54;SI;;
292 ; 29 ; 29 ; N/A ; 0.99;SI;;
293 ;  9 ;  9 ; N/A ; 0.99;SI;;
294 ;  6 ;  6 ; N/A ; 0.91;SI;;
295 ;  1 ;  1 ; N/A ; 0.67;SI;;
296 ;  9 ;  9 ; N/A ; 1.00;SI;;
297 ; 11 ; 11 ; N/A ; 0.87;SI;;
298 ;  5 ;  5 ; N/A ; 0.91;SI;;
299 ; 16 ; 16 ; N/A ; 1.00;SI;;
300 ; 33 ; 33 ; N/A ; 0.99;SI;;
301 ; 18 ; 18 ; N/A ; 0.83;SI;;
302 ;  1 ;  1 ; N/A ; 0.53;SI;;
303 ; 19 ;  2 ; N/A ; 0.16;NO;;
304 ;  7 ;  7 ; N/A ; 1.00;SI;;
305 ;  0 ; 24 ; N/A ; 0.65;NO;;
306 ;  0 ;  0 ; N/A ; 0.75;SI;;
307 ; 18 ;  1 ; N/A ; 0.52;NO;;
308 ;  5 ;  5 ; N/A ; 0.71;SI;;
309 ; 30 ; 30 ; N/A ; 0.99;SI;;
310 ; 30 ; 30 ; N/A ; 0.99;SI;;
311 ; 16 ; 16 ; N/A ; 1.00;SI;;
312 ; 30 ; 30 ; N/A ; 0.98;SI;;
313 ; 31 ; 31 ; N/A ; 0.99;SI;;
314 ; 20 ; 20 ; N/A ; 0.94;SI;;
315 ; 14 ; 14 ; N/A ; 0.94;SI;;
316 ; 23 ; 23 ; N/A ; 0.95;SI;;
317 ;  7 ;  7 ; N/A ; 1.00;SI;;
318 ; 15 ; 15 ; N/A ; 0.99;SI;;
319 ;  1 ;  1 ; N/A ; 0.73;SI;;
320 ; 24 ; 24 ; N/A ; 0.92;SI;;
321 ;  6 ; 16 ; N/A ; 0.62;NO;;
322 ; 14 ; 14 ; N/A ; 1.00;SI;;
323 ; 35 ; 35 ; N/A ; 1.00;SI;;
324 ; 23 ; 23 ; N/A ; 0.83;SI;;
325 ; 20 ; 20 ; N/A ; 0.99;SI;;
326 ; 33 ; 33 ; N/A ; 1.00;SI;;
327 ;  4 ;  4 ; N/A ; 0.79;SI;;
328 ;  2 ; 19 ; N/A ; 0.65;NO;;
329 ; 33 ; 33 ; N/A ; 1.00;SI;;
330 ; 30 ; 30 ; N/A ; 0.99;SI;;
331 ;  0 ;  0 ; N/A ; 0.65;SI;;
332 ; 25 ; 25 ; N/A ; 1.00;SI;;
333 ;  1 ;  1 ; N/A ; 0.53;SI;;
334 ; 33 ; 33 ; N/A ; 1.00;SI;;
335 ; 10 ; 10 ; N/A ; 0.99;SI;;
336 ;  5 ;  5 ; N/A ; 0.90;SI;;
337 ;  1 ;  1 ; N/A ; 0.70;SI;;
338 ;  6 ;  6 ; N/A ; 1.00;SI;;
339 ;  5 ;  5 ; N/A ; 0.95;SI;;
340 ; 27 ; 11 ; N/A ; 0.62;NO;;
341 ; 29 ; 29 ; N/A ; 1.00;SI;;
342 ;  2 ;  2 ; N/A ; 1.00;SI;;
343 ; 24 ; 24 ; N/A ; 0.50;SI;;
344 ; 26 ; 26 ; N/A ; 1.00;SI;;
345 ;  7 ;  7 ; N/A ; 0.99;SI;;
346 ; 15 ; 15 ; N/A ; 1.00;SI;;
347 ; 27 ; 27 ; N/A ; 0.99;SI;;
348 ; 16 ; 16 ; N/A ; 0.96;SI;;
349 ; 35 ; 35 ; N/A ; 0.88;SI;;
350 ; 23 ; 23 ; N/A ; 0.93;SI;;
351 ;  0 ;  0 ; N/A ; 0.54;SI;;
352 ; 16 ; 16 ; N/A ; 1.00;SI;;
353 ; 29 ; 29 ; N/A ; 0.95;SI;;
354 ; 18 ;  1 ; N/A ; 0.58;NO;;
355 ; 25 ; 25 ; N/A ; 1.00;SI;;
356 ; 24 ; 24 ; N/A ; 0.85;SI;;
357 ;  8 ;  8 ; N/A ; 0.99;SI;;
358 ; 34 ; 34 ; N/A ; 0.83;SI;;
359 ;  6 ;  6 ; N/A ; 1.00;SI;;
360 ; 18 ; 18 ; N/A ; 0.79;SI;;
361 ; 17 ; 17 ; N/A ; 0.99;SI;;
362 ; 21 ; 21 ; N/A ; 0.71;SI;;
363 ; 32 ; 32 ; N/A ; 1.00;SI;;
364 ;  3 ;  3 ; N/A ; 1.00;SI;;
365 ; 21 ; 21 ; N/A ; 0.57;SI;;
366 ;  9 ;  9 ; N/A ; 0.99;SI;;
367 ; 29 ; 29 ; N/A ; 0.99;SI;;
368 ; 16 ; 16 ; N/A ; 1.00;SI;;
369 ; 24 ; 24 ; N/A ; 0.82;SI;;
370 ; 17 ; 17 ; N/A ; 0.95;SI;;
371 ; 13 ; 13 ; N/A ; 1.00;SI;;
372 ;  6 ;  6 ; N/A ; 0.98;SI;;
373 ; 10 ; 10 ; N/A ; 0.99;SI;;
374 ; 35 ; 35 ; N/A ; 0.73;SI;;
375 ; 32 ; 19 ; N/A ; 0.54;NO;;
376 ; 17 ; 34 ; N/A ; 0.77;NO;;
377 ; 27 ; 27 ; N/A ; 1.00;SI;;
378 ; 29 ; 29 ; N/A ; 0.99;SI;;
379 ; 11 ; 11 ; N/A ; 1.00;SI;;
380 ; 10 ; 25 ; N/A ; 0.84;NO;;
381 ;  4 ;  4 ; N/A ; 0.99;SI;;
382 ; 12 ; 12 ; N/A ; 0.95;SI;;
383 ; 24 ; 24 ; N/A ; 0.55;SI;;
384 ; 24 ; 24 ; N/A ; 0.64;SI;;
385 ;  1 ;  1 ; N/A ; 0.43;SI;;
386 ; 26 ; 26 ; N/A ; 0.98;SI;;
387 ; 18 ;  1 ; N/A ; 0.45;NO;;
388 ; 13 ; 13 ; N/A ; 0.88;SI;;
389 ; 23 ; 23 ; N/A ; 1.00;SI;;
390 ;  4 ;  4 ; N/A ; 0.97;SI;;
391 ; 22 ; 32 ; N/A ; 0.46;NO;;
392 ;  2 ;  2 ; N/A ; 0.99;SI;;
393 ;  8 ;  8 ; N/A ; 1.00;SI;;
394 ;  4 ; 30 ; N/A ; 0.75;NO;;
395 ;  2 ; 21 ; N/A ; 0.86;NO;;
396 ; 22 ; 22 ; N/A ; 0.55;SI;;
397 ; 34 ; 34 ; N/A ; 0.99;SI;;
398 ;  3 ;  3 ; N/A ; 1.00;SI;;
399 ;  9 ;  9 ; N/A ; 0.98;SI;;
400 ; 34 ; 34 ; N/A ; 0.62;SI;;
401 ;  9 ;  9 ; N/A ; 0.96;SI;;
402 ; 17 ; 17 ; N/A ; 1.00;SI;;
403 ; 24 ; 24 ; N/A ; 0.68;SI;;
404 ; 24 ; 25 ; N/A ; 0.40;NO;;
405 ; 15 ; 15 ; N/A ; 0.98;SI;;
406 ; 27 ; 27 ; N/A ; 1.00;SI;;
407 ; 25 ; 25 ; N/A ; 1.00;SI;;
408 ;  7 ;  7 ; N/A ; 0.92;SI;;
409 ; 33 ;  4 ; N/A ; 0.97;NO;;
410 ; 31 ; 31 ; N/A ; 0.99;SI;;
411 ; 21 ; 21 ; N/A ; 0.80;SI;;
412 ; 11 ; 11 ; N/A ; 0.92;SI;;
413 ; 29 ; 29 ; N/A ; 0.92;SI;;
414 ;  8 ;  8 ; N/A ; 1.00;SI;;
415 ; 10 ; 10 ; N/A ; 0.99;SI;;
416 ; 18 ;  1 ; N/A ; 0.50;NO;;
417 ; 10 ; 10 ; N/A ; 0.85;SI;;
418 ; 31 ; 30 ; N/A ; 0.55;NO;;
419 ; 23 ; 23 ; N/A ; 0.61;SI;;
420 ;  1 ;  1 ; N/A ; 0.75;SI;;
421 ; 14 ; 14 ; N/A ; 1.00;SI;;
422 ; 17 ; 17 ; N/A ; 1.00;SI;;
423 ;  9 ;  9 ; N/A ; 0.98;SI;;
424 ; 14 ; 14 ; N/A ; 1.00;SI;;
425 ; 15 ; 15 ; N/A ; 1.00;SI;;
426 ; 29 ; 29 ; N/A ; 0.90;SI;;
427 ; 18 ;  1 ; N/A ; 0.61;NO;;
428 ;  6 ;  6 ; N/A ; 0.96;SI;;
429 ;  2 ;  2 ; N/A ; 0.74;SI;;
430 ; 11 ; 11 ; N/A ; 0.93;SI;;
431 ; 26 ; 26 ; N/A ; 1.00;SI;;
432 ;  4 ;  4 ; N/A ; 1.00;SI;;
433 ;  9 ;  9 ; N/A ; 0.99;SI;;
434 ; 32 ; 32 ; N/A ; 1.00;SI;;
435 ;  4 ;  4 ; N/A ; 0.94;SI;;
436 ; 15 ; 15 ; N/A ; 0.98;SI;;
437 ; 24 ; 24 ; N/A ; 0.80;SI;;
438 ; 34 ; 34 ; N/A ; 0.99;SI;;
439 ;  4 ;  4 ; N/A ; 1.00;SI;;
440 ; 19 ; 19 ; N/A ; 0.89;SI;;
441 ;  1 ;  1 ; N/A ; 0.50;SI;;
442 ;  8 ;  8 ; N/A ; 1.00;SI;;
443 ;  2 ;  2 ; N/A ; 1.00;SI;;
444 ; 32 ; 32 ; N/A ; 1.00;SI;;
445 ; 17 ; 17 ; N/A ; 0.97;SI;;
446 ; 11 ; 11 ; N/A ; 0.97;SI;;
447 ; 29 ; 29 ; N/A ; 0.98;SI;;
448 ;  9 ;  9 ; N/A ; 0.98;SI;;
449 ; 18 ; 18 ; N/A ; 0.57;SI;;
450 ;  2 ;  2 ; N/A ; 1.00;SI;;
451 ; 12 ; 12 ; N/A ; 0.98;SI;;
452 ;  6 ;  6 ; N/A ; 1.00;SI;;
453 ; 28 ; 28 ; N/A ; 0.98;SI;;
454 ; 25 ; 25 ; N/A ; 1.00;SI;;
455 ;  8 ;  8 ; N/A ; 1.00;SI;;
456 ; 16 ; 16 ; N/A ; 1.00;SI;;
457 ; 16 ; 16 ; N/A ; 1.00;SI;;
458 ; 11 ; 33 ; N/A ; 0.21;NO;;
459 ; 23 ; 23 ; N/A ; 0.89;SI;;
460 ;  7 ;  7 ; N/A ; 0.97;SI;;
461 ;  1 ;  1 ; N/A ; 0.44;SI;;
462 ; 17 ; 17 ; N/A ; 1.00;SI;;
463 ;  8 ;  8 ; N/A ; 0.97;SI;;
464 ; 25 ; 25 ; N/A ; 1.00;SI;;
465 ; 33 ; 33 ; N/A ; 1.00;SI;;
466 ;  4 ; 34 ; N/A ; 0.98;NO;;
467 ; 10 ; 17 ; N/A ; 0.61;NO;;
468 ; 18 ;  1 ; N/A ; 0.67;NO;;
469 ; 11 ; 20 ; N/A ; 0.66;NO;;
470 ; 25 ; 25 ; N/A ; 0.99;SI;;
471 ;  7 ;  7 ; N/A ; 1.00;SI;;
472 ;  6 ;  6 ; N/A ; 1.00;SI;;
473 ; 11 ; 11 ; N/A ; 0.98;SI;;
474 ; 11 ; 11 ; N/A ; 0.94;SI;;
475 ; 22 ; 22 ; N/A ; 0.76;SI;;
476 ; 17 ; 17 ; N/A ; 0.99;SI;;
477 ; 26 ; 26 ; N/A ; 0.66;SI;;
478 ; 18 ; 18 ; N/A ; 0.99;SI;;
479 ; 23 ; 23 ; N/A ; 0.99;SI;;
